,sample_size,kmeans_pycluster,kmedians_pycluster,xmeans_pycluster
0,100000.0,2.2598386287689207,2.849302387237549,2.808937740325928
1,200000.0,4.3638450622558596,10.733354377746583,4.768582010269165
2,300000.0,6.200345659255982,7.7022045135498045,7.454626560211182
3,400000.0,8.744097375869751,10.218011903762818,9.848514080047607
4,500000.0,10.358978986740112,,12.407282590866089
5,600000.0,12.0800705909729,,14.024929237365722
6,700000.0,14.157667446136475,,16.194003582000732
7,800000.0,16.40251669883728,,18.985539293289186
8,900000.0,18.14129662513733,,21.031731605529785
9,1000000.0,20.348911142349245,,23.17745671272278
