,sample_size,DBSCAN_sklearn,KMeans_sklearn,BisectingKMeans_sklearn,MiniBatchKMeans_sklearn,SpectralBiclustering_sklearn,SpectralCoclustering_sklearn,GaussianMixture_sklearn
0,20000.0,2.2736775398254396,0.09411473274230957,0.5942852973937989,0.13512730598449707,2.9246260643005373,0.7069211483001709,0.3744572639465332
1,40000.0,4.825231122970581,0.10973577499389649,0.5380861759185791,0.14464387893676758,4.819429922103882,0.9241341590881348,0.5983801364898682
2,60000.0,2.8929989337921143,0.09630465507507324,0.43254599571228025,0.1363746166229248,5.678249645233154,0.9666412830352783,1.050693416595459
3,80000.0,4.5609392642974855,0.15454115867614746,0.37890148162841797,0.7639492988586426,7.564705085754395,1.485762929916382,1.3652024745941163
4,100000.0,6.5664019107818605,0.17736635208129883,0.7520383834838867,0.17464804649353027,9.236292028427124,1.3236530780792237,1.5471662998199462
5,120000.0,7.959481954574585,0.1606964111328125,0.5608275890350342,0.13359737396240234,10.597606468200684,1.4409614562988282,1.882204818725586
6,140000.0,10.485968112945557,0.18575043678283693,0.6884644985198974,0.19970555305480958,11.687822675704956,1.7871546745300293,2.2247689723968507
7,160000.0,12.03773045539856,0.22587342262268068,0.7847684860229492,0.18099503517150878,13.354695701599121,1.6232203006744386,2.487052345275879
8,180000.0,14.397923231124878,0.33820157051086425,0.7699638843536377,0.18208761215209962,14.944056129455566,2.078831148147583,2.570461463928223
9,200000.0,17.428986597061158,0.42584571838378904,0.7770270347595215,0.19305143356323243,15.452997779846191,2.2198205471038817,3.001548194885254
