,sample_size,KMeans_sklearn,BisectingKMeans_sklearn,MiniBatchKMeans_sklearn,SpectralCoclustering_sklearn,GaussianMixture_sklearn
0,100000.0,0.16580772399902344,0.7519222259521484,0.168870210647583,1.5473003387451172,1.7893465995788573
1,200000.0,0.27571940422058105,1.1494826793670654,0.20274415016174316,2.023089790344238,2.9264945507049562
2,300000.0,0.3770140171051025,1.1149144649505616,0.2304983139038086,2.6440221309661864,3.940055418014526
3,400000.0,0.9262962341308594,2.289563703536987,0.8708703994750977,3.497995376586914,5.544657039642334
4,500000.0,0.5771658897399903,1.4998968601226808,0.24161043167114257,3.5843560218811037,8.13275408744812
5,600000.0,1.0937472343444825,1.4646046161651611,0.2750030517578125,5.143632221221924,10.391219854354858
6,700000.0,0.7672134876251221,1.5139487266540528,0.9789455890655517,4.783014440536499,11.874951028823853
7,800000.0,1.3978280544281005,1.8275223255157471,0.28071279525756837,5.519707155227661,14.200182437896729
8,900000.0,2.2246099948883056,2.076375675201416,1.0128178596496582,5.7893225193023685,14.601720476150513
9,1000000.0,1.7624537467956543,2.1906736850738526,0.5340772151947022,6.609651851654053,15.591578340530395
